name,distance,stellar_magnitude,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,orbital_radius_bin,habitable_zone,planet_surface_temperature,atmospheric_pressure,biosignature_potential,radiation_exposure,approximated_mass,approximated_radius,planet_gravity,climate_stability,possibility_of_moon,planetary_composition_hypothesis,atmospheric_density,normalized_orbital_radius,energy_receipt_score,planetary_energy_receipt,combined_planetary_composition_hypothesis
7 Canis Majoris b,65.0,3.95,2011,1.85,1.898e+27,1.2,71492.0,1.758,2.0,0.06,Radial Velocity,2.22,6.944100000000001,1-2,No,Cold,Low,Medium,Low,3.5112999999999995e+27,85790.4,31840270.843749195,Low,High,Unknown,Medium,0.999766373430861,1.0701399616150489,Extremely Low,Shadow World
7 Canis Majoris c,65.0,3.95,2019,0.87,1.898e+27,1.24,71492.0,2.153,2.7,0.08,Radial Velocity,1.0788,8.50435,>2,No,Cold,Low,Medium,Low,1.65126e+27,88650.08,14023079.602134945,Low,High,Unknown,Medium,0.9997137488329996,1.0700873370171873,Extremely Low,Shadow World
81 Ceti b,330.0,5.64307,2008,5.3,1.898e+27,1.14,71492.0,2.5,2.6,0.21,Radial Velocity,6.041999999999999,14.107675,>2,No,Cold,Low,Medium,Low,1.00594e+28,81500.87999999999,101072657.31638584,Low,High,Unknown,Medium,0.9996675191229796,1.1087504675888444,Extremely Low,Iron World
8 Ursae Minoris b,530.0,6.83295,2015,1.31,1.898e+27,1.22,71492.0,0.49,0.25571528,0.06,Radial Velocity,1.5982,3.3481455,<0.5,No,Temperate,Low,Medium,Low,2.48638e+27,87220.24,21813188.44819704,Unknown,High,Unknown,Medium,0.999935305051338,1.1362229725258453,Extremely Low,Shadow World
91 Aquarii b,144.0,4.23946,2013,3.2,1.898e+27,1.17,71492.0,0.7,0.4966461,0.03,Radial Velocity,3.744,2.967622,0.5-1,No,Temperate,Low,Medium,Low,6.073599999999999e+27,83645.64,57935635.06227974,Unknown,High,Unknown,Medium,0.9999073274170318,1.076898959407521,Extremely Low,Titanium World
AB Aurigae b,529.0,7.076,2022,9.0,1.898e+27,1.12,71492.0,93.9,587.7,0.4,Direct Imaging,10.080000000000002,664.4364,>2,No,Cold,Low,Medium,Low,1.7082e+28,80071.04000000001,177817287.53059044,Low,High,Unknown,Medium,0.9874905868583242,1.1293352070970184,Extremely Low,Iron World
AB Pictoris b,163.0,9.13,2005,13.5,1.898e+27,1.1,71492.0,260.0,4421.7,0.0,Direct Imaging,14.85,2373.8,>2,No,Cold,Low,Medium,Low,2.5623e+28,78641.20000000001,276513229.9318669,Low,High,Unknown,Medium,0.9653616103904992,1.154167682913248,Extremely Low,Iron World
Alpha Arietis b,66.0,2.00538,2010,1.8,1.898e+27,1.2,71492.0,1.2,1.0425736,0.25,Radial Velocity,2.16,2.406456,1-2,Yes,Temperate,Low,Medium,Low,3.4164e+27,85790.4,30979722.98310732,Unknown,High,Unknown,Medium,0.9998407140020172,1.0257536501216389,Extremely Low,Titanium World
Alpha Tauri b,67.0,0.872,2015,6.47,1.898e+27,1.13,71492.0,1.46,1.7,0.1,Radial Velocity,7.311099999999999,1.27312,1-2,Yes,Temperate,Low,Medium,Low,1.228006e+28,80785.95999999999,125578389.97616376,Unknown,High,Unknown,Medium,0.9998060750262096,0.9998060750262096,Extremely Low,Iron World
AU Microscopii b,32.0,8.81,2020,20.12,5.972e+24,0.363,71492.0,0.0645,0.023271732,0.19,Transit,7.30356,0.568245,<0.5,No,Hot,Unknown,Medium,Medium,1.2015664e+26,25951.596,11907095.42952187,Low,High,Unknown,Medium,0.9999919930675152,1.1814817731214728,Very Low,Shadow World
AU Microscopii c,32.0,8.81,2021,9.6,5.972e+24,0.289,71492.0,0.1101,0.051745377,0.04,Transit,2.7743999999999995,0.969981,<0.5,No,Hot,Unknown,Medium,Low,5.73312e+25,20661.188,8963273.646197433,Low,Medium,Unknown,Unknown,0.999985917924066,1.1814756979780237,Very Low,Methane World
b Centauri AB b,320.0,4.01,2021,10.9,1.898e+27,1.11,71492.0,556.0,4904.1,0.4,Direct Imaging,12.099000000000002,2229.56,>2,No,Cold,Low,Medium,Low,2.06882e+28,79356.12000000001,219254268.6573296,Low,High,Unknown,Medium,0.9259264687019,0.997671861723986,Extremely Low,Iron World
BD-00 4475 b,139.0,9.01,2021,25.05,1.898e+27,1.07,71492.0,1.48,2.0,0.39,Radial Velocity,26.803500000000003,13.3348,1-2,Yes,Temperate,Low,Medium,Low,4.75449e+28,76496.44,542260152.4862176,Unknown,High,Unknown,Medium,0.9998034104896092,1.1858658733365617,Very Low,Iron World
BD+03 2562 b,3492.0,9.577,2017,6.4,1.898e+27,1.13,71492.0,1.3,1.3193703,0.2,Radial Velocity,7.231999999999999,12.4501,1-2,Yes,Temperate,Low,Medium,Low,1.2147199999999998e+28,80785.95999999999,124219736.60702445,Unknown,High,Unknown,Medium,0.9998273913190144,1.1988534098841064,Very Low,Iron World
BD-06 1339 b,66.0,9.7,2013,8.5,5.972e+24,0.254,71492.0,0.0428,0.010677618,0.0,Radial Velocity,2.159,0.41516,<0.5,No,Hot,Unknown,Medium,Medium,5.0762e+25,18158.968,10274071.894850492,Low,Medium,Unknown,Unknown,0.9999948840897268,1.2018331025725106,Very Low,Shadow World
BD-06 1339 c,66.0,9.7,2013,0.17,1.898e+27,0.747,71492.0,0.435,0.34469542,0.31,Radial Velocity,0.12699,4.2195,<0.5,No,Temperate,Low,Medium,Low,3.2266000000000004e+26,53404.524,7550491.704797944,Low,Medium,Unknown,Low,0.9999426325269894,1.2017808510097732,Very Low,Shadow World
